Date,USD_CAD
2011-03-31,0.9702
2011-04-01,0.9636
2011-04-04,0.9669
2011-04-05,0.9638
2011-04-06,0.9604
2011-04-07,0.9586
2011-04-08,0.9557
2011-04-11,0.9562
2011-04-12,0.9627
2011-04-13,0.9624
2011-04-14,0.9607
2011-04-15,0.9599
2011-04-18,0.9645
2011-04-20,0.9526
2011-04-21,0.953
2011-04-25,0.9544
2011-04-27,0.9502
2011-04-28,0.9509
2011-04-29,0.9446
2011-05-02,0.9504
2011-05-03,0.9527
2011-05-04,0.9585
2011-05-05,0.9671
2011-05-06,0.9656
2011-05-09,0.9621
2011-05-10,0.957
2011-05-11,0.9614
2011-05-12,0.9624
2011-05-13,0.9683
2011-05-16,0.9752
2011-05-17,0.9723
2011-05-18,0.9705
2011-05-19,0.9676
2011-05-20,0.974
2011-05-24,0.9765
2011-05-25,0.9779
2011-05-26,0.9782
2011-05-27,0.9758
2011-05-31,0.9685
2011-06-01,0.9775
2011-06-02,0.9755
2011-06-03,0.978
2011-06-06,0.9806
2011-06-07,0.9744
2011-06-08,0.9799
2011-06-09,0.9735
2011-06-10,0.9798
2011-06-13,0.9762
2011-06-14,0.9687
2011-06-15,0.9792
2011-06-16,0.9819
2011-06-17,0.9794
2011-06-20,0.9795
2011-06-21,0.9718
2011-06-22,0.9735
2011-06-23,0.9788
2011-06-24,0.9885
2011-06-27,0.9863
2011-06-28,0.9818
2011-06-29,0.97
2011-06-30,0.9634
2011-07-05,0.9628
2011-07-06,0.9658
2011-07-07,0.9587
2011-07-08,0.9616
2011-07-11,0.9684
2011-07-12,0.9653
2011-07-13,0.9587
2011-07-14,0.9601
2011-07-15,0.9536
2011-07-18,0.9591
2011-07-19,0.95
2011-07-20,0.9477
2011-07-21,0.9438
2011-07-22,0.9482
2011-07-25,0.9472
2011-07-26,0.9438
2011-07-27,0.9494
2011-07-28,0.9489
2011-07-29,0.9552
2011-08-02,0.9612
2011-08-03,0.9618
2011-08-04,0.9808
2011-08-05,0.9816
2011-08-08,0.993
2011-08-09,0.9804
2011-08-10,0.9942
2011-08-11,0.9848
2011-08-12,0.987
2011-08-15,0.98
2011-08-16,0.982
2011-08-17,0.9804
2011-08-18,0.9902
2011-08-19,0.99
2011-08-22,0.9899
2011-08-23,0.9882
2011-08-24,0.9874
2011-08-25,0.9882
2011-08-26,0.9816
2011-08-29,0.9768
2011-08-30,0.9784
2011-08-31,0.9779
2011-09-01,0.976
2011-09-02,0.9857
2011-09-06,0.9902
2011-09-07,0.9845
2011-09-08,0.989
2011-09-09,0.9969
2011-09-12,0.9924
2011-09-13,0.9862
2011-09-14,0.9904
2011-09-15,0.9836
2011-09-16,0.9778
2011-09-19,0.9901
2011-09-20,0.992
2011-09-21,1.0078
2011-09-22,1.0282
2011-09-23,1.028
2011-09-26,1.0253
2011-09-27,1.0196
2011-09-28,1.0332
2011-09-29,1.0356
2011-09-30,1.0501
2011-10-03,1.0547
2011-10-04,1.0526
2011-10-05,1.041
2011-10-06,1.0378
2011-10-07,1.0396
2011-10-11,1.0288
2011-10-12,1.0176
2011-10-13,1.0207
2011-10-14,1.0097
2011-10-17,1.0232
2011-10-18,1.0152
2011-10-19,1.0196
2011-10-20,1.0164
2011-10-21,1.0071
2011-10-24,1.0038
2011-10-25,1.0165
2011-10-26,1.0042
2011-10-27,0.9907
2011-10-28,0.9919
2011-10-31,0.9996
2011-11-01,1.02
2011-11-02,1.0142
2011-11-03,1.0073
2011-11-04,1.0189
2011-11-07,1.0131
2011-11-08,1.0091
2011-11-09,1.0227
2011-11-10,1.0174
2011-11-11,1.0124
2011-11-14,1.0163
2011-11-15,1.0212
2011-11-16,1.0236
2011-11-17,1.0292
2011-11-18,1.0269
2011-11-21,1.0381
2011-11-22,1.0379
2011-11-23,1.0476
2011-11-25,1.0488
2011-11-28,1.0356
2011-11-29,1.0303
2011-11-30,1.0194
2011-12-01,1.0141
2011-12-02,1.0181
2011-12-05,1.0171
2011-12-06,1.0098
2011-12-07,1.0095
2011-12-08,1.0221
2011-12-09,1.0185
2011-12-12,1.0262
2011-12-13,1.0339
2011-12-14,1.0394
2011-12-15,1.0349
2011-12-16,1.0379
2011-12-19,1.0379
2011-12-20,1.0303
2011-12-21,1.0266
2011-12-22,1.021
2011-12-23,1.0198
2011-12-28,1.0244
2011-12-29,1.0208
2011-12-30,1.0196
2012-01-03,1.011
2012-01-04,1.0127
2012-01-05,1.0198
2012-01-06,1.0272
2012-01-09,1.0236
2012-01-10,1.017
2012-01-11,1.0192
2012-01-12,1.0183
2012-01-13,1.0225
2012-01-17,1.0151
2012-01-18,1.0117
2012-01-19,1.0114
2012-01-20,1.013
2012-01-23,1.0076
2012-01-24,1.0101
2012-01-25,1.0042
2012-01-26,1.0017
2012-01-27,1.001
2012-01-30,1.0023
2012-01-31,1.0029
2012-02-01,0.9989
2012-02-02,0.9992
2012-02-03,0.9931
2012-02-06,0.9956
2012-02-07,0.9945
2012-02-08,0.9961
2012-02-09,0.9951
2012-02-10,1.0023
2012-02-13,0.9994
2012-02-14,0.999
2012-02-15,0.9992
2012-02-16,0.9964
2012-02-17,0.9959
2012-02-21,0.9967
2012-02-22,1.0001
2012-02-23,0.9977
2012-02-24,0.9998
2012-02-27,0.999
2012-02-28,0.9946
2012-02-29,0.9895
2012-03-01,0.9859
2012-03-02,0.989
2012-03-05,0.9946
2012-03-06,1.0011
2012-03-07,0.9979
2012-03-08,0.9909
