Date,AdjClose,Return
2016-11-10,40.687511,-0.005349829
2016-11-14,40.468666,-0.005378678
2016-11-15,40.722515,0.00627273
2016-11-16,40.652493,-0.001719491
2016-11-17,40.7663,0.002799509
2016-11-18,40.58247,-0.004509362
2016-11-21,40.871349,0.00711832
2016-11-22,41.028908,0.003854999
2016-11-23,40.906353,-0.00298704
2016-11-25,41.020157,0.002782062
2016-11-28,40.871349,-0.00362768
2016-11-29,41.07267,0.004925724
2016-11-30,40.967628,-0.002557467
2016-12-01,40.810059,-0.003846183
2016-12-02,40.871349,0.001501836
2016-12-05,41.055172,0.004497601
2016-12-06,41.27401,0.005330339
2016-12-07,41.737965,0.011240851
2016-12-08,41.7117,-0.000629283
2016-12-09,41.816738,0.00251819
2016-12-12,41.764225,-0.001255789
2016-12-13,42.070606,0.007335968
2016-12-14,41.61541,-0.010819811
2016-12-15,41.667931,0.001262057
2016-12-16,41.624157,-0.001050544
2016-12-19,41.632919,0.000210503
2016-12-20,41.790485,0.003784649
2016-12-21,41.737965,-0.001256745
2016-12-22,41.641666,-0.002307228
2016-12-23,41.7117,0.001681825
2016-12-28,41.608158,-0.002482325
2016-12-29,41.661083,0.001271986
2016-12-30,41.652271,-0.000211516
2017-01-03,41.846329,0.004659002
2017-01-04,42.181515,0.008009926
2017-01-05,42.340302,0.003764374
2017-01-06,42.287369,-0.00125018
2017-01-09,42.163876,-0.002920328
2017-01-10,42.207977,0.001045943
2017-01-11,42.393223,0.004388886
2017-01-12,42.349113,-0.001040496
2017-01-13,42.428509,0.001874797
2017-01-17,42.305008,-0.002910802
2017-01-18,42.287369,-0.000416948
2017-01-19,42.172703,-0.00271159
2017-01-20,42.296188,0.002928079
2017-01-23,42.384399,0.002085554
2017-01-24,42.569633,0.004370334
2017-01-25,42.825447,0.006009307
2017-01-26,42.790161,-0.000823949
2017-01-27,42.728413,-0.001443042
2017-01-30,42.507889,-0.005161062
2017-01-31,42.499065,-0.000207585
2017-02-01,42.622566,0.00290597
2017-02-02,42.578457,-0.001034874
2017-02-03,42.860729,0.006629456
2017-02-06,42.693127,-0.003910386
2017-02-07,42.684303,-0.000206684
2017-02-08,42.746071,0.001447089
2017-02-09,42.887184,0.003301192
2017-02-10,43.090069,0.004730667
2017-02-13,43.21357,0.002866113
2017-02-14,43.275303,0.001428556
2017-02-15,43.495842,0.005096186
2017-02-16,43.389988,-0.002433658
2017-02-17,43.487011,0.002236069
2017-02-21,43.645786,0.00365109
2017-02-22,43.619331,-0.00060613
2017-02-23,43.672245,0.001213086
2017-02-24,43.592861,-0.001817722
2017-02-27,43.619331,0.00060721
2017-02-28,43.531109,-0.002022544
